L_X,L_Y,L_Z,R_X,R_Y,R_Z
-1.98693,-9.06276,-2.95249,-12.9123,-7.98433,-16.9405
-1.98567,-9.06136,-2.94396,-12.9029,-7.9882,-16.9546
-1.9836,-9.05984,-2.93212,-12.892,-7.99013,-16.9605
-1.98077,-9.0582,-2.91701,-12.8795,-7.99011,-16.9584
-1.9772,-9.05645,-2.89878,-12.8654,-7.9881,-16.9481
-1.97296,-9.05459,-2.8777,-12.8498,-7.98404,-16.9297
-1.96812,-9.05263,-2.85414,-12.8328,-7.97783,-16.9035
-1.96276,-9.05057,-2.82859,-12.8144,-7.96937,-16.8699
-1.95694,-9.04837,-2.80166,-12.7949,-7.95861,-16.8294
-1.95071,-9.04603,-2.77403,-12.7747,-7.94558,-16.7831
-1.9441,-9.04351,-2.74644,-12.7541,-7.93037,-16.7321
-1.9372,-9.0408,-2.7197,-12.7337,-7.91321,-16.6778
-1.93011,-9.03792,-2.69465,-12.714,-7.89437,-16.6216
-1.92303,-9.03492,-2.67211,-12.6954,-7.87421,-16.5648
-1.91618,-9.03185,-2.65292,-12.6784,-7.85308,-16.5087
-1.90989,-9.02881,-2.63782,-12.6632,-7.83128,-16.4543
-1.90445,-9.02589,-2.62738,-12.6499,-7.80914,-16.4023
-1.90016,-9.02322,-2.62204,-12.6383,-7.78686,-16.3534
-1.89724,-9.02086,-2.62199,-12.6285,-7.76464,-16.308
-1.89584,-9.01891,-2.62717,-12.62,-7.74265,-16.2664
-1.89602,-9.01738,-2.63728,-12.6125,-7.72101,-16.2289
-1.89769,-9.0163,-2.65175,-12.606,-7.69989,-16.1956
-1.9007,-9.01563,-2.66979,-12.6,-7.67947,-16.1667
-1.90482,-9.01531,-2.69049,-12.5947,-7.66002,-16.1424
-1.90975,-9.01527,-2.71282,-12.59,-7.64178,-16.1227
-1.9152,-9.01542,-2.73579,-12.5862,-7.62506,-16.1075
-1.92087,-9.01566,-2.75843,-12.5834,-7.61011,-16.0963
-1.92649,-9.01592,-2.77991,-12.5818,-7.59716,-16.089
-1.93182,-9.01613,-2.79956,-12.5815,-7.58637,-16.0849
-1.93665,-9.01624,-2.8169,-12.5825,-7.57783,-16.0838
-1.94083,-9.01622,-2.83162,-12.5849,-7.57158,-16.0852
-1.94424,-9.0161,-2.84362,-12.5885,-7.56761,-16.0888
-1.94678,-9.01589,-2.85291,-12.5934,-7.56583,-16.0944
-1.94844,-9.01567,-2.85971,-12.5995,-7.56612,-16.1021
-1.94921,-9.01549,-2.86427,-12.6068,-7.56828,-16.1116
-1.94916,-9.01542,-2.86689,-12.6151,-7.5721,-16.1228
-1.94837,-9.01553,-2.86792,-12.6244,-7.57731,-16.1355
-1.94698,-9.01588,-2.86763,-12.6342,-7.5836,-16.1492
-1.94512,-9.01649,-2.86632,-12.6444,-7.59073,-16.1631
-1.94292,-9.0174,-2.86416,-12.6545,-7.59844,-16.1767
-1.9405,-9.01861,-2.86128,-12.664,-7.60656,-16.1893
-1.93794,-9.02008,-2.85773,-12.6725,-7.61494,-16.2002
-1.93528,-9.02182,-2.85353,-12.6795,-7.62349,-16.2091
-1.93255,-9.02374,-2.84859,-12.6847,-7.63222,-16.2157
-1.9297,-9.0258,-2.84284,-12.6878,-7.64108,-16.22
-1.92669,-9.02793,-2.8362,-12.6887,-7.6501,-16.222
-1.92349,-9.03004,-2.82868,-12.6873,-7.65927,-16.2219
-1.92007,-9.03207,-2.82032,-12.6837,-7.6686,-16.2199
-1.91644,-9.03397,-2.8113,-12.6781,-7.67806,-16.2163
-1.91265,-9.03568,-2.80186,-12.6709,-7.68768,-16.2116
-1.90879,-9.03718,-2.79235,-12.6624,-7.69746,-16.2061
-1.90497,-9.03846,-2.78312,-12.653,-7.70746,-16.2005
-1.90132,-9.03953,-2.77452,-12.6432,-7.71773,-16.1954
-1.89796,-9.0404,-2.76687,-12.6336,-7.72835,-16.1913
-1.89502,-9.0411,-2.76039,-12.6244,-7.73934,-16.1889
-1.8926,-9.04164,-2.75528,-12.616,-7.75067,-16.1885
-1.89075,-9.04203,-2.75159,-12.6087,-7.76225,-16.1903
-1.88946,-9.04228,-2.74927,-12.6025,-7.77386,-16.1942
-1.88869,-9.04239,-2.7481,-12.5975,-7.78526,-16.1997
-1.88829,-9.04235,-2.7478,-12.5935,-7.79613,-16.2063
-1.88815,-9.04214,-2.74808,-12.5906,-7.80613,-16.2133
-1.8881,-9.04175,-2.74859,-12.5883,-7.81492,-16.2198
-1.88807,-9.04119,-2.74912,-12.5866,-7.82224,-16.2252
-1.88798,-9.04047,-2.74948,-12.5853,-7.82788,-16.2291
-1.88789,-9.0396,-2.74967,-12.5843,-7.83178,-16.2312
-1.88789,-9.03864,-2.74976,-12.5835,-7.83396,-16.2313
-1.88811,-9.03761,-2.7499,-12.5829,-7.83459,-16.2295
-1.88872,-9.03658,-2.75028,-12.5823,-7.83394,-16.226
-1.88989,-9.03562,-2.75111,-12.5817,-7.83233,-16.2209
-1.89176,-9.03478,-2.75255,-12.5809,-7.83016,-16.2147
-1.8944,-9.03411,-2.75464,-12.5797,-7.82786,-16.2078
-1.89781,-9.03366,-2.75732,-12.5781,-7.82583,-16.2007
-1.90188,-9.03345,-2.76041,-12.5757,-7.82446,-16.1937
-1.90645,-9.03349,-2.76361,-12.5726,-7.82405,-16.1873
-1.9113,-9.03378,-2.76659,-12.5687,-7.82481,-16.1815
-1.91616,-9.03429,-2.769,-12.5639,-7.82683,-16.1767
-1.9208,-9.03499,-2.77053,-12.5583,-7.83007,-16.1728
-1.92496,-9.03586,-2.77095,-12.5522,-7.83441,-16.1702
-1.92846,-9.03685,-2.77018,-12.5458,-7.83962,-16.1692
-1.93119,-9.03793,-2.76825,-12.5395,-7.84546,-16.1701
-1.93308,-9.03908,-2.76541,-12.5336,-7.85165,-16.1732
-1.93419,-9.04025,-2.76193,-12.5286,-7.8579,-16.1784
-1.93457,-9.04143,-2.7582,-12.5249,-7.86395,-16.1858
-1.93437,-9.04259,-2.75459,-12.5226,-7.86955,-16.1949
-1.93376,-9.04373,-2.75151,-12.5217,-7.87451,-16.2053
-1.93294,-9.04481,-2.74933,-12.5221,-7.87867,-16.2164
-1.93215,-9.04587,-2.74838,-12.5236,-7.88193,-16.2275
-1.93164,-9.04689,-2.74894,-12.5259,-7.88425,-16.2383
-1.9317,-9.04789,-2.75125,-12.5287,-7.88565,-16.2483
-1.93258,-9.04888,-2.75542,-12.5316,-7.88621,-16.2573
-1.93453,-9.04986,-2.7615,-12.5344,-7.88606,-16.2654
-1.9377,-9.05083,-2.7694,-12.537,-7.88536,-16.2727
-1.94218,-9.05175,-2.7789,-12.5392,-7.88431,-16.2797
-1.9479,-9.05261,-2.78959,-12.541,-7.88308,-16.2865
-1.95466,-9.05336,-2.80101,-12.5424,-7.8818,-16.2933
-1.9621,-9.05391,-2.81256,-12.5436,-7.88054,-16.3
-1.96978,-9.05421,-2.82368,-12.5446,-7.87933,-16.3064
-1.97722,-9.0542,-2.8339,-12.5453,-7.87814,-16.3122
-1.98398,-9.05386,-2.84295,-12.5458,-7.87692,-16.317
-1.98968,-9.05317,-2.85074,-12.5462,-7.87562,-16.3206
-1.99408,-9.05219,-2.85743,-12.5464,-7.87426,-16.3229
-1.99703,-9.05097,-2.86335,-12.5467,-7.87287,-16.3241
-1.99856,-9.04961,-2.86897,-12.5471,-7.87153,-16.3245
-1.99878,-9.04822,-2.87477,-12.5479,-7.8703,-16.3246
-1.9979,-9.04688,-2.8812,-12.5494,-7.86929,-16.3249
-1.99615,-9.04569,-2.88857,-12.5515,-7.8685,-16.3257
-1.99378,-9.04472,-2.89706,-12.5546,-7.86793,-16.3274
-1.99099,-9.044,-2.90669,-12.5585,-7.86753,-16.3301
-1.98794,-9.04354,-2.91731,-12.5634,-7.86726,-16.3338
-1.98468,-9.04331,-2.92866,-12.5689,-7.86703,-16.3383
-1.98121,-9.04328,-2.94037,-12.5751,-7.86681,-16.3432
-1.97748,-9.04339,-2.95201,-12.5816,-7.86653,-16.3483
