L_X,L_Y,L_Z,R_X,R_Y,R_Z
0.246805,-1.91491,-0.635195,-0.659717,0.586287,-28.6201
0.245246,-1.91538,-0.636028,-0.661855,0.587073,-28.6275
0.244761,-1.91569,-0.634404,-0.664429,0.587605,-28.635
0.245365,-1.91583,-0.630346,-0.66743,0.587854,-28.6426
0.247016,-1.91582,-0.624067,-0.670831,0.587804,-28.6502
0.24961,-1.91567,-0.615859,-0.674575,0.587451,-28.6579
0.253009,-1.91541,-0.606141,-0.678575,0.586794,-28.6654
0.257037,-1.91506,-0.595391,-0.682723,0.585849,-28.6726
0.261507,-1.91465,-0.584083,-0.686921,0.584649,-28.6795
0.26625,-1.91421,-0.572637,-0.691046,0.583231,-28.6858
0.271099,-1.91377,-0.561454,-0.69501,0.581657,-28.6914
0.27592,-1.91337,-0.550855,-0.698759,0.579999,-28.6964
0.280602,-1.91303,-0.541117,-0.702266,0.578348,-28.7007
0.285064,-1.91279,-0.532445,-0.70552,0.576785,-28.7045
0.289254,-1.91265,-0.524988,-0.708543,0.575403,-28.7079
0.293151,-1.91264,-0.51879,-0.711345,0.574286,-28.7111
0.296765,-1.91275,-0.513848,-0.713929,0.573507,-28.7143
0.300131,-1.91299,-0.510069,-0.71627,0.573114,-28.7175
0.303274,-1.91331,-0.507345,-0.718317,0.573132,-28.7208
0.306247,-1.91369,-0.505503,-0.720001,0.573555,-28.7241
0.309101,-1.91409,-0.504344,-0.721255,0.574349,-28.7273
0.311856,-1.91446,-0.503669,-0.722016,0.575458,-28.7304
0.314528,-1.91478,-0.503248,-0.722252,0.576792,-28.7331
0.317101,-1.91499,-0.502864,-0.721969,0.578257,-28.7353
0.319528,-1.91507,-0.502324,-0.721196,0.57974,-28.737
0.321726,-1.91502,-0.501446,-0.720026,0.581133,-28.738
0.323592,-1.91482,-0.500094,-0.718571,0.582328,-28.7382
0.32501,-1.9145,-0.498172,-0.716971,0.583241,-28.7376
0.325855,-1.9141,-0.495618,-0.715346,0.583785,-28.7362
0.326036,-1.91367,-0.492384,-0.713821,0.583909,-28.734
0.325482,-1.91327,-0.488456,-0.712499,0.583565,-28.7309
0.324165,-1.91297,-0.483798,-0.711436,0.582723,-28.7269
0.322107,-1.91283,-0.478386,-0.710658,0.58137,-28.7221
0.319363,-1.91292,-0.472227,-0.710149,0.579495,-28.7163
0.316041,-1.91328,-0.465366,-0.709865,0.577134,-28.7097
0.31226,-1.91393,-0.457849,-0.709743,0.57431,-28.7021
0.308161,-1.91488,-0.449814,-0.709713,0.571092,-28.6938
0.303904,-1.9161,-0.441355,-0.709691,0.567566,-28.6848
0.299634,-1.91753,-0.432655,-0.709618,0.563837,-28.6752
0.295507,-1.91915,-0.423841,-0.709401,0.560016,-28.6651
0.291651,-1.92086,-0.415093,-0.708982,0.556234,-28.6547
0.288172,-1.92259,-0.406615,-0.708288,0.552602,-28.6442
0.285169,-1.92429,-0.398537,-0.70726,0.549237,-28.6338
0.282707,-1.9259,-0.391045,-0.705844,0.546233,-28.6235
0.280841,-1.92736,-0.38426,-0.704016,0.543672,-28.6134
0.279594,-1.92864,-0.378287,-0.701755,0.541606,-28.6038
0.278979,-1.92973,-0.373205,-0.699084,0.540069,-28.5946
0.278969,-1.93059,-0.36908,-0.696044,0.539072,-28.5859
0.279536,-1.93123,-0.36596,-0.692702,0.538583,-28.578
0.280604,-1.93166,-0.363912,-0.689153,0.538572,-28.5707
0.282104,-1.93186,-0.362965,-0.685497,0.538961,-28.5643
0.283935,-1.93187,-0.363127,-0.681849,0.539678,-28.5587
0.285984,-1.93168,-0.364399,-0.678313,0.540626,-28.5539
0.288139,-1.93131,-0.366706,-0.675006,0.541716,-28.5499
0.290272,-1.93079,-0.369954,-0.672019,0.542856,-28.5468
0.292271,-1.93016,-0.373991,-0.66943,0.543963,-28.5444
0.294019,-1.92945,-0.378646,-0.667307,0.544969,-28.5429
0.295425,-1.92871,-0.383679,-0.665694,0.545824,-28.542
0.296435,-1.928,-0.388821,-0.664605,0.54649,-28.5419
0.297018,-1.92735,-0.39383,-0.664037,0.546946,-28.5425
0.297175,-1.92681,-0.398432,-0.66397,0.547196,-28.5436
0.296928,-1.9264,-0.40247,-0.664369,0.547253,-28.5453
0.296322,-1.92613,-0.405813,-0.665181,0.547141,-28.5474
0.295412,-1.92601,-0.40846,-0.666342,0.546896,-28.5498
0.29424,-1.926,-0.410506,-0.66778,0.546548,-28.5525
0.292849,-1.92606,-0.412108,-0.669436,0.546129,-28.5554
0.291262,-1.92613,-0.413523,-0.671242,0.545651,-28.5584
0.289493,-1.92615,-0.415071,-0.67315,0.545137,-28.5615
0.287539,-1.92606,-0.417044,-0.675122,0.5446,-28.5646
0.285391,-1.92581,-0.419741,-0.677116,0.544041,-28.5679
0.283035,-1.92536,-0.423449,-0.679101,0.543466,-28.5713
0.280443,-1.92467,-0.428376,-0.681042,0.542868,-28.5748
0.277594,-1.92375,-0.434688,-0.682896,0.542242,-28.5782
0.274476,-1.9226,-0.442424,-0.684636,0.541584,-28.5818
0.271092,-1.92126,-0.451557,-0.686207,0.540876,-28.5852
0.267448,-1.91978,-0.461964,-0.687571,0.540103,-28.5884
0.263567,-1.9182,-0.473451,-0.688693,0.539249,-28.5913
0.259477,-1.91656,-0.485819,-0.689542,0.538298,-28.5939
0.25521,-1.91493,-0.498792,-0.690096,0.537217,-28.5959
0.250818,-1.91334,-0.512084,-0.690362,0.535988,-28.5974
0.246347,-1.91186,-0.525436,-0.690345,0.534586,-28.5983
0.241835,-1.91051,-0.538557,-0.690049,0.532982,-28.5985
0.237343,-1.90936,-0.55115,-0.689496,0.531156,-28.5981
0.232905,-1.90844,-0.56294,-0.688715,0.529103,-28.597
0.228574,-1.9078,-0.573664,-0.687727,0.526833,-28.5952
0.224384,-1.90747,-0.583055,-0.686569,0.524366,-28.5928
0.220383,-1.90751,-0.590875,-0.68529,0.521754,-28.5897
0.21661,-1.90795,-0.596893,-0.683959,0.519069,-28.5861
0.213104,-1.90881,-0.600946,-0.682673,0.516398,-28.582
0.209889,-1.9101,-0.602841,-0.681549,0.513851,-28.5776
