L_X,L_Y,L_Z,R_X,R_Y,R_Z
0.119172,-4.76171,-20.0335,-10.1181,-7.05909,-46.8358
0.122278,-4.77348,-20.0184,-10.1122,-7.06186,-46.8222
0.126601,-4.78327,-20.0036,-10.1074,-7.06432,-46.81
0.132146,-4.79109,-19.9892,-10.1037,-7.06646,-46.7994
0.138885,-4.79696,-19.9751,-10.101,-7.0683,-46.7902
0.146754,-4.80087,-19.9615,-10.0992,-7.06986,-46.7825
0.15564,-4.80286,-19.9485,-10.0984,-7.07118,-46.7761
0.165375,-4.80292,-19.9362,-10.0983,-7.07232,-46.7712
0.175743,-4.80111,-19.9248,-10.0986,-7.07337,-46.7674
0.186479,-4.79745,-19.9147,-10.0993,-7.07443,-46.7648
0.19731,-4.79203,-19.906,-10.0999,-7.07559,-46.763
0.207971,-4.78495,-19.899,-10.1004,-7.07692,-46.7622
0.218223,-4.77632,-19.8938,-10.1005,-7.07851,-46.762
0.227884,-4.76634,-19.8904,-10.1001,-7.08036,-46.7622
0.2368,-4.75515,-19.8888,-10.0992,-7.08249,-46.7628
0.244858,-4.743,-19.8887,-10.0976,-7.08482,-46.7635
0.251971,-4.73009,-19.89,-10.0954,-7.08729,-46.764
0.258075,-4.71668,-19.8926,-10.0927,-7.08979,-46.7644
0.263077,-4.703,-19.8964,-10.0896,-7.09221,-46.7644
0.266884,-4.68931,-19.9012,-10.0862,-7.09442,-46.764
0.269375,-4.67587,-19.9072,-10.0828,-7.09632,-46.7634
0.27044,-4.6629,-19.9145,-10.0794,-7.09781,-46.7624
0.269974,-4.65065,-19.9232,-10.0762,-7.09883,-46.7612
0.267914,-4.63934,-19.9335,-10.0732,-7.09936,-46.7597
0.264261,-4.62916,-19.9454,-10.0706,-7.09937,-46.7579
0.259079,-4.62027,-19.9588,-10.0682,-7.09891,-46.7558
0.252506,-4.61281,-19.9736,-10.066,-7.09805,-46.7534
0.244774,-4.60687,-19.9894,-10.064,-7.09687,-46.7505
0.236184,-4.60251,-20.0059,-10.0621,-7.09549,-46.7472
0.227072,-4.59974,-20.0225,-10.0602,-7.09402,-46.7435
0.217779,-4.59852,-20.0389,-10.0584,-7.0926,-46.7394
0.208631,-4.59874,-20.0545,-10.0567,-7.09132,-46.735
0.199918,-4.60026,-20.069,-10.055,-7.09029,-46.7305
0.191899,-4.60287,-20.0821,-10.0534,-7.08958,-46.7261
0.184786,-4.60633,-20.0936,-10.052,-7.08928,-46.7221
0.17877,-4.61041,-20.1031,-10.0507,-7.08942,-46.7186
0.174028,-4.61481,-20.1105,-10.0496,-7.09003,-46.716
0.170704,-4.61932,-20.1157,-10.0487,-7.09111,-46.7144
0.168917,-4.62366,-20.1185,-10.0479,-7.09265,-46.7141
0.168748,-4.62766,-20.119,-10.0473,-7.09459,-46.7152
0.170223,-4.63112,-20.1173,-10.0467,-7.09685,-46.7177
0.173319,-4.63392,-20.1134,-10.0462,-7.09934,-46.7215
0.177934,-4.63595,-20.1076,-10.0457,-7.10194,-46.7265
0.183911,-4.63717,-20.1002,-10.0453,-7.10452,-46.7324
0.191051,-4.63758,-20.0915,-10.0451,-7.10698,-46.739
0.199108,-4.63719,-20.082,-10.0449,-7.10918,-46.7459
