L_X,L_Y,L_Z,R_X,R_Y,R_Z
-7.70591,-0.653742,-26.6622,-3.64577,1.78503,-26.1482
-7.72846,-0.639325,-26.7195,-3.61709,1.79592,-26.1366
-7.75136,-0.625888,-26.7758,-3.58766,1.80732,-26.1244
-7.77462,-0.613438,-26.8311,-3.55747,1.81922,-26.1115
-7.79822,-0.601987,-26.8853,-3.52654,1.83162,-26.0981
-7.82216,-0.591577,-26.9384,-3.49488,1.84449,-26.0839
-7.84644,-0.582256,-26.99,-3.46253,1.8578,-26.0691
-7.87106,-0.574124,-27.0399,-3.42953,1.87149,-26.0535
-7.89602,-0.567316,-27.0877,-3.39593,1.8855,-26.0373
-7.92136,-0.561996,-27.1329,-3.36184,1.89973,-26.0203
-7.9471,-0.558351,-27.1748,-3.32736,1.91406,-26.0026
-7.97327,-0.556575,-27.213,-3.29263,1.92837,-25.9843
-7.99989,-0.556876,-27.2466,-3.25783,1.94252,-25.9652
-8.02699,-0.559431,-27.2751,-3.22316,1.95634,-25.9456
-8.05459,-0.56441,-27.2979,-3.18882,1.96966,-25.9255
-8.08272,-0.571955,-27.3143,-3.15504,1.98235,-25.905
-8.1114,-0.582167,-27.324,-3.12205,1.99423,-25.884
-8.14066,-0.595123,-27.3269,-3.09006,2.00519,-25.8628
-8.1705,-0.610843,-27.3227,-3.05928,2.01508,-25.8411
-8.20092,-0.629314,-27.3115,-3.02989,2.02382,-25.8192
-8.23187,-0.650447,-27.2936,-3.00204,2.03134,-25.797
-8.26325,-0.674106,-27.2694,-2.97584,2.03761,-25.7745
-8.29492,-0.700077,-27.2392,-2.95138,2.04264,-25.7517
-8.32671,-0.728084,-27.2039,-2.92872,2.04648,-25.7288
-8.35839,-0.757787,-27.1642,-2.90788,2.04922,-25.7057
-8.38974,-0.788815,-27.121,-2.88884,2.05099,-25.6827
-8.42055,-0.82074,-27.0753,-2.87159,2.05194,-25.66
-8.45062,-0.853112,-27.0285,-2.85606,2.05223,-25.6379
-8.4798,-0.885455,-26.9816,-2.84219,2.05207,-25.6165
-8.50801,-0.917259,-26.9361,-2.82988,2.05161,-25.596
-8.53517,-0.948019,-26.8933,-2.81903,2.05103,-25.5768
-8.56131,-0.977235,-26.8545,-2.80954,2.05047,-25.559
-8.58648,-1.00448,-26.8208,-2.80129,2.05006,-25.5428
-8.61082,-1.02942,-26.793,-2.79412,2.04989,-25.5282
-8.63447,-1.05178,-26.7718,-2.7879,2.05001,-25.5154
-8.65764,-1.07143,-26.7574,-2.78246,2.05046,-25.5044
-8.68052,-1.08829,-26.75,-2.77761,2.05123,-25.4952
-8.70329,-1.10236,-26.7494,-2.77316,2.05231,-25.4876
-8.7261,-1.11367,-26.7551,-2.76891,2.05366,-25.4815
-8.74907,-1.1223,-26.7668,-2.76467,2.05524,-25.4767
-8.77221,-1.12835,-26.7836,-2.76024,2.057,-25.4729
-8.79551,-1.13188,-26.805,-2.75543,2.0589,-25.47
-8.81887,-1.13298,-26.8303,-2.75008,2.0609,-25.4675
-8.84213,-1.13173,-26.8588,-2.74403,2.06299,-25.4651
