L_X,L_Y,L_Z,R_X,R_Y,R_Z
1.01352,-3.08013,-13.2261,2.59234,-1.26324,-29.4907
1.01596,-3.07976,-13.2227,2.59372,-1.26154,-29.4877
1.0187,-3.07908,-13.2193,2.59492,-1.26003,-29.4847
1.02168,-3.07813,-13.2157,2.59593,-1.25873,-29.4819
1.02482,-3.07691,-13.2122,2.59675,-1.25765,-29.4793
1.02807,-3.07547,-13.2086,2.59739,-1.25678,-29.4768
1.03139,-3.07384,-13.205,2.59787,-1.25612,-29.4746
1.03471,-3.07203,-13.2014,2.59821,-1.25565,-29.4725
1.038,-3.07008,-13.1977,2.59843,-1.25535,-29.4705
1.04124,-3.06801,-13.1941,2.59857,-1.2552,-29.4687
1.04438,-3.06584,-13.1905,2.59863,-1.25518,-29.467
1.04741,-3.06358,-13.187,2.59863,-1.25527,-29.4653
1.0503,-3.06127,-13.1835,2.59859,-1.25545,-29.4637
1.05305,-3.05892,-13.18,2.59851,-1.25571,-29.4621
1.05563,-3.05656,-13.1767,2.59839,-1.25604,-29.4603
1.05804,-3.05421,-13.1735,2.59821,-1.25644,-29.4585
1.06026,-3.0519,-13.1705,2.59794,-1.2569,-29.4567
1.06227,-3.04968,-13.1677,2.59756,-1.25744,-29.4547
1.06407,-3.04759,-13.1651,2.59704,-1.25803,-29.4527
1.06564,-3.04566,-13.1628,2.59635,-1.25869,-29.4507
1.06697,-3.04396,-13.1608,2.59545,-1.25941,-29.4487
1.06805,-3.0425,-13.159,2.59432,-1.26018,-29.4469
1.06887,-3.04135,-13.1575,2.59295,-1.26099,-29.4452
1.06945,-3.04052,-13.1562,2.59133,-1.26182,-29.4439
1.06977,-3.04004,-13.1551,2.58948,-1.26265,-29.4428
1.06987,-3.03991,-13.1542,2.58742,-1.26346,-29.4422
1.06975,-3.04013,-13.1533,2.58518,-1.26423,-29.442
1.06943,-3.04071,-13.1524,2.58281,-1.2649,-29.4422
1.06894,-3.04161,-13.1515,2.58034,-1.26547,-29.4429
1.0683,-3.04282,-13.1505,2.57782,-1.26589,-29.444
1.06754,-3.04431,-13.1494,2.57529,-1.26613,-29.4458
1.06667,-3.04604,-13.1481,2.57277,-1.26618,-29.4481
1.06573,-3.04796,-13.1467,2.57029,-1.26602,-29.4509
1.06473,-3.05005,-13.1451,2.56788,-1.26565,-29.4543
1.0637,-3.05227,-13.1433,2.56556,-1.26506,-29.4581
1.06264,-3.05457,-13.1415,2.56337,-1.26426,-29.4623
1.06159,-3.05693,-13.1395,2.56134,-1.26326,-29.4668
1.06055,-3.0593,-13.1375,2.55952,-1.26209,-29.4715
1.05953,-3.06167,-13.1356,2.55795,-1.26075,-29.4761
1.05854,-3.06401,-13.1337,2.55668,-1.25928,-29.4805
1.05759,-3.06629,-13.1321,2.55575,-1.2577,-29.4847
1.05668,-3.0685,-13.1305,2.55517,-1.25604,-29.4884
1.05582,-3.07062,-13.1293,2.55493,-1.25432,-29.4917
1.055,-3.07263,-13.1283,2.55501,-1.25257,-29.4945
1.05424,-3.07454,-13.1275,2.55536,-1.25081,-29.4969
1.05353,-3.07631,-13.127,2.55592,-1.24908,-29.4987
1.05288,-3.07796,-13.1267,2.55661,-1.2474,-29.5002
1.05229,-3.07947,-13.1265,2.55736,-1.2458,-29.5013
1.05177,-3.08086,-13.1264,2.55807,-1.2443,-29.502
1.05132,-3.0821,-13.1264,2.55868,-1.2429,-29.5024
1.05094,-3.08321,-13.1263,2.55912,-1.24163,-29.5025
1.05063,-3.0842,-13.1262,2.55934,-1.2405,-29.5025
1.05039,-3.08506,-13.1259,2.55929,-1.23952,-29.5022
1.05023,-3.08581,-13.1253,2.55896,-1.23866,-29.5019
1.05014,-3.08644,-13.1245,2.55835,-1.23794,-29.5015
1.05011,-3.08698,-13.1234,2.55747,-1.23735,-29.501
1.05012,-3.08741,-13.122,2.55636,-1.23686,-29.5005
1.05018,-3.08776,-13.1202,2.55508,-1.23645,-29.4999
1.05027,-3.08803,-13.1182,2.55368,-1.23611,-29.4994
1.05039,-3.08821,-13.1159,2.55223,-1.23581,-29.499
1.05052,-3.08832,-13.1134,2.55078,-1.23553,-29.4985
1.05067,-3.08835,-13.1108,2.54941,-1.23523,-29.4982
1.05085,-3.08832,-13.1081,2.54816,-1.23492,-29.498
1.05106,-3.08822,-13.1055,2.54706,-1.23455,-29.498
1.05134,-3.08806,-13.103,2.54614,-1.23412,-29.4981
1.05168,-3.08785,-13.1006,2.54542,-1.23362,-29.4984
1.05212,-3.08759,-13.0984,2.5449,-1.23304,-29.4989
1.05268,-3.08728,-13.0965,2.54457,-1.23237,-29.4996
1.05337,-3.08694,-13.0947,2.54441,-1.23162,-29.5004
1.05421,-3.08658,-13.0932,2.5444,-1.23079,-29.5014
1.0552,-3.0862,-13.0919,2.54454,-1.22988,-29.5024
1.05632,-3.0858,-13.0907,2.54479,-1.22892,-29.5035
1.05756,-3.08542,-13.0898,2.54513,-1.22791,-29.5046
1.0589,-3.08505,-13.0889,2.54554,-1.22688,-29.5057
1.06029,-3.0847,-13.0882,2.54599,-1.22585,-29.5067
1.06171,-3.08439,-13.0875,2.54646,-1.22485,-29.5076
1.06311,-3.08413,-13.087,2.54691,-1.2239,-29.5083
1.06444,-3.08392,-13.0865,2.54733,-1.22304,-29.5089
1.06568,-3.08375,-13.086,2.54768,-1.22231,-29.5094
1.06679,-3.08364,-13.0856,2.54794,-1.22173,-29.5097
1.06773,-3.08356,-13.0853,2.54811,-1.22133,-29.5098
1.0685,-3.08352,-13.0851,2.54816,-1.22116,-29.5097
