L_X,L_Y,L_Z,R_X,R_Y,R_Z
5.83786,-5.15514,-20.7696,6.20288,8.72436,-33.581
5.83434,-5.15572,-20.7569,6.22411,8.69451,-33.5976
5.83031,-5.15668,-20.7457,6.24329,8.66742,-33.6127
5.82578,-5.15804,-20.736,6.26044,8.64313,-33.6265
5.82078,-5.15979,-20.7278,6.27556,8.62161,-33.6389
5.81541,-5.16194,-20.721,6.2886,8.60287,-33.6502
5.8098,-5.1645,-20.7155,6.2995,8.58693,-33.6605
5.8041,-5.16746,-20.7109,6.3082,8.57379,-33.67
5.7985,-5.17081,-20.7073,6.31459,8.56341,-33.6789
5.7932,-5.17454,-20.7042,6.3186,8.55577,-33.6874
5.78838,-5.1786,-20.7015,6.32016,8.55078,-33.6957
5.78425,-5.18294,-20.699,6.31925,8.54831,-33.704
5.78099,-5.18749,-20.6965,6.31593,8.54816,-33.7125
5.77873,-5.19216,-20.6937,6.31029,8.55008,-33.7215
5.77759,-5.19686,-20.6904,6.30248,8.5538,-33.7311
5.77762,-5.20146,-20.6866,6.29271,8.55902,-33.7415
5.77883,-5.20587,-20.6822,6.28122,8.56543,-33.7527
5.78116,-5.20997,-20.677,6.26826,8.57273,-33.7648
5.78455,-5.21366,-20.6712,6.2541,8.58066,-33.7777
5.78886,-5.21687,-20.6647,6.23903,8.58894,-33.7914
5.79394,-5.21951,-20.6576,6.22328,8.59733,-33.8058
5.79963,-5.22158,-20.6502,6.20711,8.60562,-33.8208
5.80577,-5.22305,-20.6425,6.19071,8.61363,-33.8364
5.81219,-5.22396,-20.6348,6.17425,8.62121,-33.8523
5.81873,-5.22436,-20.6273,6.15788,8.62822,-33.8686
5.82527,-5.22433,-20.6201,6.1417,8.63458,-33.885
5.83169,-5.22394,-20.6135,6.12581,8.64024,-33.9014
5.8379,-5.22333,-20.6076,6.11027,8.64516,-33.9176
5.84387,-5.22258,-20.6027,6.09513,8.64933,-33.9335
5.84954,-5.22182,-20.5987,6.08041,8.65273,-33.9488
5.85491,-5.22114,-20.5958,6.06613,8.65538,-33.9636
5.86,-5.22064,-20.5938,6.05229,8.65728,-33.9778
5.8648,-5.22041,-20.5925,6.03889,8.65842,-33.9912
5.86935,-5.22051,-20.5919,6.02591,8.6588,-34.0039
5.87367,-5.221,-20.5916,6.01333,8.6584,-34.0159
5.87778,-5.22191,-20.5913,6.00114,8.65719,-34.0272
5.88168,-5.22324,-20.5908,5.98933,8.65513,-34.0377
5.88539,-5.225,-20.5898,5.97789,8.6522,-34.0476
5.8889,-5.22718,-20.5879,5.96683,8.64835,-34.0568
5.89221,-5.22977,-20.585,5.95618,8.64354,-34.0653
5.89533,-5.2327,-20.5809,5.94594,8.63775,-34.0732
5.89826,-5.23597,-20.5754,5.93615,8.63096,-34.0804
5.90099,-5.23951,-20.5687,5.92681,8.62321,-34.0869
5.90352,-5.24328,-20.5608,5.91791,8.61452,-34.0927
5.90586,-5.24723,-20.5519,5.90942,8.605,-34.0978
5.90799,-5.25133,-20.5422,5.90131,8.59476,-34.102
5.90991,-5.25552,-20.532,5.89356,8.58395,-34.1055
5.91164,-5.25978,-20.5217,5.88617,8.57273,-34.1081
5.91319,-5.26409,-20.5116,5.87918,8.5613,-34.1097
5.91457,-5.26841,-20.502,5.87261,8.54984,-34.1103
5.9158,-5.27275,-20.493,5.86651,8.53854,-34.1097
5.91692,-5.27709,-20.485,5.8609,8.52757,-34.108
5.91795,-5.28142,-20.478,5.85581,8.51709,-34.1052
5.91891,-5.28571,-20.4721,5.85123,8.50722,-34.1014
5.91986,-5.28996,-20.4674,5.84714,8.49808,-34.0968
5.92082,-5.29412,-20.4638,5.84351,8.48977,-34.0917
5.92183,-5.29815,-20.4613,5.84029,8.48232,-34.086
5.92294,-5.30202,-20.4598,5.83743,8.47582,-34.0802
5.9242,-5.30567,-20.459,5.83486,8.47028,-34.0742
5.92563,-5.30904,-20.459,5.83254,8.4657,-34.0684
5.9273,-5.31208,-20.4595,5.83037,8.4621,-34.063
5.92925,-5.31471,-20.4603,5.82831,8.45943,-34.058
5.93152,-5.31688,-20.4614,5.82628,8.45768,-34.0535
5.93415,-5.31854,-20.4625,5.82425,8.45681,-34.0497
5.93715,-5.31965,-20.4636,5.82219,8.45677,-34.0465
5.94053,-5.32016,-20.4646,5.8201,8.45752,-34.0438
5.94425,-5.32007,-20.4655,5.818,8.459,-34.0415
5.94827,-5.31938,-20.4662,5.81593,8.46115,-34.0396
5.95249,-5.31808,-20.4668,5.81395,8.46392,-34.0377
5.95681,-5.31621,-20.4674,5.81211,8.46723,-34.0359
5.96111,-5.31383,-20.4678,5.81046,8.47099,-34.034
5.96526,-5.31098,-20.4683,5.80904,8.47512,-34.032
5.96913,-5.30774,-20.4689,5.80788,8.4795,-34.0298
5.9726,-5.3042,-20.4696,5.807,8.48402,-34.0273
5.97556,-5.30046,-20.4703,5.80639,8.48854,-34.0245
5.97793,-5.29663,-20.4712,5.80606,8.49295,-34.0215
5.97965,-5.29282,-20.4721,5.80596,8.49709,-34.0183
5.98069,-5.28914,-20.473,5.80606,8.50086,-34.015
5.98104,-5.28569,-20.4739,5.80629,8.50414,-34.0117
5.98072,-5.28256,-20.4748,5.80661,8.50682,-34.0085
5.97977,-5.27982,-20.4755,5.80695,8.50885,-34.0055
5.97826,-5.27751,-20.4761,5.80729,8.51019,-34.0027
5.97626,-5.27565,-20.4765,5.80762,8.51081,-33.9999
5.97389,-5.27424,-20.4768,5.80796,8.5107,-33.9973
5.97124,-5.27325,-20.4769,5.80832,8.50991,-33.9947
5.96846,-5.27264,-20.4768,5.80875,8.50849,-33.992
5.96566,-5.27235,-20.4765,5.80931,8.50651,-33.9892
5.963,-5.27229,-20.4759,5.81006,8.50407,-33.9861
5.96061,-5.2724,-20.4752,5.8111,8.50127,-33.9827
5.95862,-5.27256,-20.4742,5.81254,8.49826,-33.9789
5.95716,-5.27271,-20.4728,5.81449,8.49514,-33.9747
5.95635,-5.27277,-20.471,5.81706,8.49203,-33.9699
5.95628,-5.27269,-20.4688,5.82034,8.48905,-33.9645
5.95704,-5.27244,-20.4662,5.82442,8.48629,-33.9586
5.95865,-5.27201,-20.463,5.82933,8.48382,-33.9521
5.96115,-5.2714,-20.4593,5.83509,8.48167,-33.9452
5.96453,-5.27065,-20.4552,5.84166,8.47989,-33.9381
5.96879,-5.26981,-20.4506,5.84898,8.47847,-33.9307
5.97391,-5.26894,-20.4456,5.85695,8.4774,-33.9233
5.97987,-5.26808,-20.4401,5.86548,8.47665,-33.9161
5.98666,-5.26732,-20.4339,5.87442,8.47618,-33.9092
5.99426,-5.2667,-20.427,5.88361,8.47598,-33.9026
6.00267,-5.26629,-20.4193,5.89287,8.47601,-33.8965
6.01185,-5.26611,-20.4107,5.90199,8.47629,-33.8909
6.02174,-5.26618,-20.401,5.91079,8.47684,-33.8857
6.03224,-5.26651,-20.3903,5.91905,8.47768,-33.8808
6.04324,-5.26706,-20.3786,5.92657,8.47884,-33.8762
6.05458,-5.26779,-20.3662,5.93318,8.4804,-33.8718
6.06608,-5.26864,-20.3532,5.93872,8.48241,-33.8674
6.07757,-5.26951,-20.34,5.9431,8.4849,-33.8629
6.08886,-5.27032,-20.3268,5.94629,8.48791,-33.8582
6.09981,-5.27096,-20.3142,5.94833,8.49146,-33.8532
6.1103,-5.27135,-20.3023,5.94933,8.49553,-33.8477
6.1203,-5.27139,-20.2914,5.94943,8.50007,-33.8418
6.12978,-5.27102,-20.2817,5.94886,8.505,-33.8353
6.13883,-5.2702,-20.2734,5.94785,8.51024,-33.8285
6.14754,-5.2689,-20.2664,5.94664,8.51564,-33.8214
6.15606,-5.26712,-20.2608,5.9455,8.52106,-33.8141
6.16458,-5.26486,-20.2565,5.94466,8.52636,-33.807
6.17327,-5.26217,-20.2534,5.94436,8.53135,-33.8001
6.1823,-5.25908,-20.2514,5.94479,8.53589,-33.7937
6.19182,-5.25566,-20.2503,5.94612,8.53984,-33.788
6.20194,-5.25198,-20.2499,5.94846,8.54305,-33.7832
6.21272,-5.24813,-20.25,5.95187,8.54542,-33.7794
6.2242,-5.24419,-20.2505,5.95635,8.54686,-33.7767
6.23633,-5.24027,-20.2512,5.96182,8.54736,-33.7753
6.24906,-5.23645,-20.2518,5.96815,8.5469,-33.7751
6.26227,-5.23282,-20.2521,5.97513,8.54554,-33.7761
6.27582,-5.22946,-20.252,5.98252,8.54337,-33.7783
6.28953,-5.22647,-20.2513,5.99,8.54055,-33.7815
6.30318,-5.22389,-20.2498,5.9973,8.53723,-33.7855
6.31656,-5.22182,-20.2475,6.00411,8.5336,-33.7902
6.32942,-5.2203,-20.2443,6.0102,8.52982,-33.7954
6.34154,-5.21941,-20.2401,6.01537,8.52603,-33.8009
6.35271,-5.21922,-20.235,6.01951,8.52234,-33.8065
6.36273,-5.21977,-20.229,6.02252,8.51881,-33.8123
6.37147,-5.22115,-20.222,6.0244,8.51546,-33.8181
6.37884,-5.22338,-20.2142,6.02516,8.5123,-33.824
6.3848,-5.22652,-20.2056,6.02486,8.5093,-33.8299
6.38937,-5.2306,-20.1962,6.02363,8.50642,-33.8358
6.39263,-5.23559,-20.1862,6.0216,8.50361,-33.8417
6.39469,-5.24149,-20.1755,6.0189,8.50083,-33.8476
6.39569,-5.24823,-20.1644,6.01572,8.49803,-33.8535
