L_X,L_Y,L_Z,R_X,R_Y,R_Z
0.0509472,-6.39088,-3.11196,-12.5932,-4.17801,-16.3264
0.585186,-6.22967,-3.07272,-12.554,-4.14226,-16.1979
1.15677,-6.04858,-3.03431,-12.5175,-4.1053,-16.0693
1.76543,-5.84694,-2.99641,-12.4837,-4.06708,-15.9406
2.41082,-5.62411,-2.95886,-12.4526,-4.02758,-15.8118
3.09248,-5.37948,-2.92155,-12.4241,-3.9868,-15.6829
3.80992,-5.1124,-2.88464,-12.3984,-3.94482,-15.5541
4.5624,-4.82221,-2.8483,-12.3756,-3.90183,-15.4261
5.3491,-4.50822,-2.81287,-12.356,-3.85814,-15.2992
6.16898,-4.16962,-2.77852,-12.3401,-3.81425,-15.1748
7.02073,-3.80555,-2.74548,-12.3283,-3.77081,-15.054
7.90283,-3.41498,-2.71375,-12.3215,-3.72864,-14.9385
8.81349,-2.99671,-2.68304,-12.3203,-3.68876,-14.8302
9.75048,-2.54939,-2.65302,-12.3259,-3.65229,-14.7309
10.7112,-2.07154,-2.6231,-12.3389,-3.62038,-14.6425
11.6925,-1.56161,-2.59263,-12.3603,-3.59413,-14.5666
12.6906,-1.01809,-2.56106,-12.3905,-3.57446,-14.5044
13.7009,-0.439715,-2.52806,-12.4296,-3.56186,-14.4566
14.7178,0.174405,-2.49385,-12.4773,-3.5564,-14.4229
15.7348,0.82446,-2.45903,-12.5327,-3.55764,-14.4022
16.7445,1.50968,-2.42487,-12.5943,-3.56467,-14.3929
17.7384,2.22808,-2.3932,-12.6603,-3.57611,-14.3924
18.7071,2.97608,-2.3664,-12.7286,-3.5903,-14.3979
19.6408,3.74828,-2.34726,-12.7968,-3.60541,-14.4061
20.529,4.53726,-2.33891,-12.8623,-3.6195,-14.4138
21.3615,5.33339,-2.3446,-12.9228,-3.6308,-14.4179
22.1283,6.12494,-2.36748,-12.9759,-3.63772,-14.4154
22.8204,6.89828,-2.41017,-13.0196,-3.63906,-14.404
23.4297,7.63828,-2.47443,-13.0522,-3.63404,-14.382
23.9498,8.32904,-2.56076,-13.0725,-3.62229,-14.3483
24.3757,8.95463,-2.6682,-13.0797,-3.60395,-14.3024
24.7042,9.49996,-2.79436,-13.0735,-3.57948,-14.2443
24.9333,9.95161,-2.93557,-13.0543,-3.54969,-14.1747
25.0623,10.2985,-3.08716,-13.0226,-3.51553,-14.0945
25.0913,10.5326,-3.24399,-12.9795,-3.47809,-14.0052
25.0213,10.6488,-3.40055,-12.9267,-3.43843,-13.9085
24.8533,10.6457,-3.55151,-12.8658,-3.39759,-13.806
24.5892,10.5247,-3.69181,-12.799,-3.35646,-13.6998
24.2311,10.2903,-3.81683,-12.7285,-3.3158,-13.5917
23.7818,9.94919,-3.92263,-12.6565,-3.2762,-13.4839
23.2446,9.51006,-4.00615,-12.5855,-3.23815,-13.3781
22.6237,8.98273,-4.06532,-12.5175,-3.20199,-13.2764
21.9238,8.37783,-4.09912,-12.4545,-3.16801,-13.1805
21.1507,7.70619,-4.10772,-12.3982,-3.13634,-13.0921
20.3109,6.97851,-4.09218,-12.3497,-3.10704,-13.0126
19.4117,6.20516,-4.0542,-12.3096,-3.08004,-12.9432
18.4613,5.39607,-3.99577,-12.278,-3.05508,-12.8845
17.4687,4.56072,-3.91883,-12.2542,-3.03169,-12.8367
16.4433,3.70835,-3.82507,-12.2366,-3.00912,-12.7995
15.3951,2.84808,-3.71543,-12.2232,-2.98638,-12.7717
14.3341,1.98905,-3.59017,-12.2108,-2.96221,-12.7516
13.2706,1.14047,-3.44875,-12.1957,-2.93512,-12.737
12.2142,0.311652,-3.29043,-12.1737,-2.90341,-12.7249
11.1742,-0.488198,-3.11451,-12.1397,-2.8653,-12.7117
10.1588,-1.25018,-2.92116,-12.0885,-2.81893,-12.6936
9.17532,-1.96614,-2.7119,-12.0147,-2.76257,-12.6665
8.22928,-2.62899,-2.49013,-11.9125,-2.69462,-12.6263
7.32472,-3.23312,-2.26142,-11.7765,-2.61382,-12.569
6.4638,-3.77476,-2.03351,-11.6016,-2.5192,-12.4915
5.64694,-4.25221,-1.8155,-11.3833,-2.41029,-12.3912
4.87298,-4.66599,-1.61712,-11.1178,-2.28691,-12.2666
4.13955,-5.01872,-1.44752,-10.8023,-2.14914,-12.1177
3.44352,-5.31479,-1.31412,-10.4349,-1.99713,-11.9454
2.78159,-5.56002,-1.22153,-10.0149,-1.83087,-11.7517
2.15083,-5.76104,-1.17114,-9.54246,-1.65002,-11.5396
1.54904,-5.92493,-1.16112,-9.0187,-1.45359,-11.3126
0.974821,-6.05868,-1.18714,-8.44531,-1.23993,-11.074
0.427329,-6.16896,-1.24345,-7.82433,-1.00658,-10.8271
-0.0940587,-6.26183,-1.3238,-7.15804,-0.750323,-10.5748
-0.590062,-6.34253,-1.42226,-6.44852,-0.46735,-10.319
-1.06173,-6.4155,-1.53371,-5.69752,-0.153341,-10.061
-1.51048,-6.48425,-1.65432,-4.90637,0.196146,-9.80157
-1.93792,-6.55139,-1.78147,-4.07569,0.585566,-9.54118
-2.34565,-6.61866,-1.91371,-3.20549,1.01901,-9.28022
-2.73502,-6.68699,-2.05027,-2.2952,1.50002,-9.01928
-3.10696,-6.7565,-2.1908,-1.34386,2.03141,-8.75951
-3.46183,-6.82656,-2.33481,-0.350396,2.61514,-8.50303
-3.79941,-6.8958,-2.48142,0.686033,3.25232,-8.25286
-4.11881,-6.96234,-2.62923,1.76547,3.94326,-8.01304
-4.41867,-7.02397,-2.77612,2.88683,4.68768,-7.78836
