L_X,L_Y,L_Z,R_X,R_Y,R_Z
7.04516,-6.55077,-2.91889,2.2849,-7.9321,-26.7915
7.48528,-6.63567,-2.83745,2.25525,-7.88094,-26.8324
7.99349,-6.73741,-2.71916,2.23467,-7.82222,-26.8878
8.57007,-6.85687,-2.55516,2.22508,-7.75557,-26.9547
9.21398,-6.99375,-2.33906,2.22787,-7.68078,-27.0283
9.92251,-7.14618,-2.06853,2.24385,-7.59802,-27.1033
10.6908,-7.31033,-1.74635,2.2732,-7.50788,-27.1743
11.511,-7.47997,-1.38068,2.31551,-7.41152,-27.2361
12.3722,-7.64616,-0.984796,2.36984,-7.31067,-27.2846
13.2591,-7.79708,-0.5759,2.43484,-7.20764,-27.3166
14.1522,-7.91824,-0.173317,2.50893,-7.1052,-27.3303
15.0276,-7.99321,0.203744,2.59043,-7.00645,-27.3247
15.8574,-8.00482,0.537853,2.67777,-6.91473,-27.2998
16.6108,-7.93705,0.814438,2.76967,-6.83334,-27.2562
17.2561,-7.7775,1.02158,2.86518,-6.76546,-27.1945
17.7628,-7.52016,1.14987,2.96374,-6.71384,-27.1153
18.1051,-7.16827,1.19233,3.06515,-6.68061,-27.019
18.2645,-6.73632,1.14524,3.16949,-6.66723,-26.906
18.2336,-6.25061,1.00937,3.27704,-6.67432,-26.7766
18.0178,-5.74757,0.791314,3.38814,-6.70173,-26.6317
17.6367,-5.2695,0.504123,3.50301,-6.74848,-26.4725
17.1216,-4.85827,0.166302,3.62161,-6.81286,-26.3012
16.5123,-4.54846,-0.200403,3.74359,-6.89239,-26.1209
15.8499,-4.36162,-0.574803,3.86815,-6.98404,-25.936
15.1714,-4.30338,-0.939884,3.99407,-7.08425,-25.7517
14.5042,-4.36385,-1.2858,4.1197,-7.18908,-25.5741
13.8645,-4.52077,-1.61091,4.24306,-7.29441,-25.4099
13.2581,-4.74436,-1.92092,4.36192,-7.39608,-25.2656
12.6826,-5.0025,-2.22638,4.47396,-7.49007,-25.1475
12.1315,-5.26536,-2.53965,4.57693,-7.57263,-25.0605
11.5968,-5.50871,-2.87188,4.66885,-7.6406,-25.0079
11.0709,-5.71588,-3.23074,4.7482,-7.69149,-24.9912
10.5482,-5.87807,-3.61884,4.81407,-7.72375,-25.0092
10.0255,-5.99356,-4.03248,4.8663,-7.73683,-25.059
9.50224,-6.06623,-4.4611,4.90545,-7.73115,-25.1355
8.9809,-6.10386,-4.88729,4.93278,-7.70805,-25.2321
8.4676,-6.11638,-5.28801,4.95015,-7.66964,-25.3413
7.97206,-6.11436,-5.63698,4.95988,-7.61868,-25.4552
7.5072,-6.10766,-5.90811,4.96467,-7.55839,-25.5659
7.08816,-6.10448,-6.07937,4.9674,-7.49233,-25.6661
6.73064,-6.11064,-6.13652,4.97099,-7.42423,-25.7495
6.44897,-6.12927,-6.07567,4.97826,-7.3579,-25.8112
6.25405,-6.16079,-5.9043,4.99173,-7.29713,-25.8476
6.15171,-6.20325,-5.63977,5.01351,-7.2456,-25.857
6.14157,-6.25284,-5.30638,5.04509,-7.20678,-25.8391
6.21682,-6.30444,-4.9315,5.08724,-7.18381,-25.7953
6.36481,-6.35214,-4.54217,5.13994,-7.17939,-25.728
6.56847,-6.38963,-4.16224,5.2022,-7.19549,-25.6411
6.80811,-6.41074,-3.81032,5.27203,-7.23316,-25.5389
7.06332,-6.4101,-3.49846,5.34652,-7.2923,-25.4265
7.31481,-6.38392,-3.23168,5.42206,-7.37179,-25.3093
7.5458,-6.33076,-3.00819,5.49471,-7.4695,-25.1928
7.74305,-6.25198,-2.82064,5.56059,-7.58255,-25.0826
7.89741,-6.1518,-2.6579,5.6163,-7.70745,-24.9837
8.00382,-6.03671,-2.50751,5.65926,-7.84036,-24.9009
8.06075,-5.91446,-2.35823,5.68812,-7.97736,-24.8379
8.06936,-5.79275,-2.20254,5.70307,-8.11474,-24.7978
8.03249,-5.67799,-2.0379,5.70606,-8.24934,-24.782
7.95375,-5.57446,-1.86695,5.70083,-8.37868,-24.7909
7.837,-5.48397,-1.69676,5.6928,-8.50104,-24.8233
7.68618,-5.40597,-1.53738,5.6888,-8.61549,-24.8767
7.50536,-5.33813,-1.39958,5.69677,-8.72182,-24.9472
7.29892,-5.27724,-1.29268,5.72524,-8.82033,-25.0298
7.07185,-5.21993,-1.22287,5.78284,-8.91166,-25.1185
6.82994,-5.16336,-1.19244,5.87762,-8.99643,-25.2068
6.57993,-5.10549,-1.19974,6.01636,-9.07502,-25.2881
6.32949,-5.04519,-1.23952,6.20392,-9.14734,-25.3567
6.08709,-4.9821,-1.30407,6.44254,-9.21267,-25.4081
5.8616,-4.91635,-1.38433,6.73128,-9.26963,-25.44
5.66152,-4.84845,-1.47123,7.06557,-9.31605,-25.4529
5.49411,-4.77908,-1.55653,7.43689,-9.34884,-25.4503
5.36457,-4.70911,-1.6331,7.83272,-9.3641,-25.4395
5.27543,-4.63942,-1.69507,8.23685,-9.35738,-25.4305
5.22629,-4.57102,-1.73813,8.63001,-9.32426,-25.4364
5.21385,-4.50489,-1.75982,8.99094,-9.26104,-25.4718
5.23235,-4.44207,-1.7598,9.29789,-9.16543,-25.5517
5.27437,-4.38352,-1.7395,9.5305,-9.03744,-25.6895
5.33177,-4.33014,-1.70171,9.67183,-8.88005,-25.8951
5.3965,-4.28275,-1.65009,9.71034,-8.69971,-26.1733
5.46136,-4.24212,-1.58884,9.64148,-8.50622,-26.5219
5.5205,-4.20895,-1.52227,9.46856,-8.31195,-26.9308
5.5698,-4.18387,-1.45435,9.20259,-8.13042,-27.382
5.60709,-4.16738,-1.38818,8.86113,-7.97448,-27.8505
5.63216,-4.15965,-1.3258,8.46628,-7.85453,-28.3067
5.6464,-4.16055,-1.26867,8.04208,-7.77718,-28.7194
5.65226,-4.16952,-1.21798,7.61181,-7.74459,-29.06
5.65257,-4.18557,-1.17476,7.19565,-7.7546,-29.3053
5.64987,-4.20725,-1.14012,6.80913,-7.8015,-29.4408
5.6459,-4.23259,-1.11527,6.46259,-7.87731,-29.4621
5.64121,-4.25922,-1.10166,6.16151,-7.97311,-29.3747
5.63501,-4.28456,-1.10077,5.90739,-8.08025,-29.193
5.62539,-4.30595,-1.11421,5.6989,-8.19108,-28.9382
5.60985,-4.32094,-1.14304,5.53275,-8.29943,-28.6351
5.58594,-4.32752,-1.18712,5.40448,-8.40057,-28.3104
5.55181,-4.32433,-1.24475,5.30888,-8.49108,-27.9899
5.50663,-4.31077,-1.31293,5.24037,-8.56862,-27.6964
5.45089,-4.28706,-1.388,5.19328,-8.63174,-27.449
5.38624,-4.2541,-1.46659,5.16204,-8.67965,-27.2614
5.31521,-4.21347,-1.546,5.14143,-8.71221,-27.1418
5.24078,-4.16719,-1.62453,5.12672,-8.72986,-27.0929
5.16597,-4.11766,-1.70151,5.11396,-8.73364,-27.1119
5.09352,-4.06735,-1.77699,5.10011,-8.72521,-27.1909
5.02564,-4.01876,-1.85145,5.08315,-8.70681,-27.3183
4.96392,-3.97421,-1.92547,5.06201,-8.6811,-27.4795
4.90939,-3.93573,-1.99958,5.03643,-8.65097,-27.6586
4.86265,-3.90495,-2.07394,5.00664,-8.61924,-27.8398
4.82407,-3.883,-2.14803,4.97309,-8.58843,-28.0087
4.79377,-3.87051,-2.22043,4.9361,-8.56047,-28.1538
4.77162,-3.86772,-2.28857,4.89566,-8.53663,-28.2666
4.75717,-3.87449,-2.34907,4.85138,-8.51751,-28.3422
4.74956,-3.89045,-2.3983,4.8025,-8.50312,-28.379
4.74758,-3.91506,-2.43271,4.74811,-8.4931,-28.3783
