L_X,L_Y,L_Z,R_X,R_Y,R_Z
-6.03026,-3.27232,-4.62821,-10.1887,-1.59146,-36.3009
-6.02514,-3.27138,-4.62319,-10.1726,-1.59058,-36.2887
-6.02096,-3.27072,-4.61928,-10.158,-1.59012,-36.2782
-6.01771,-3.27034,-4.61649,-10.1449,-1.59005,-36.2694
-6.01537,-3.27024,-4.6148,-10.1334,-1.59036,-36.2625
-6.01388,-3.27038,-4.61422,-10.1234,-1.59098,-36.2574
-6.01318,-3.27072,-4.61471,-10.1149,-1.59181,-36.254
-6.01316,-3.27121,-4.61624,-10.108,-1.59275,-36.2523
-6.01367,-3.27177,-4.61877,-10.1025,-1.59368,-36.252
-6.01454,-3.27231,-4.62223,-10.0982,-1.59445,-36.2528
-6.01557,-3.27274,-4.6265,-10.0949,-1.59496,-36.2544
-6.01654,-3.27296,-4.63142,-10.0924,-1.5951,-36.2564
-6.01724,-3.27287,-4.63682,-10.0902,-1.59483,-36.2584
-6.01747,-3.27239,-4.64248,-10.0883,-1.59413,-36.2601
-6.01705,-3.27147,-4.64821,-10.0863,-1.59303,-36.2612
-6.01586,-3.2701,-4.65383,-10.0842,-1.59162,-36.2617
-6.01385,-3.26826,-4.65914,-10.0818,-1.59004,-36.2616
-6.01101,-3.26601,-4.66396,-10.0793,-1.58842,-36.261
-6.00743,-3.26341,-4.66814,-10.0767,-1.58689,-36.2603
-6.00321,-3.26057,-4.67151,-10.0743,-1.58555,-36.2596
-5.99856,-3.25761,-4.67399,-10.0722,-1.58445,-36.2594
-5.99367,-3.25464,-4.67548,-10.0707,-1.58361,-36.2597
-5.98877,-3.2518,-4.67601,-10.07,-1.58299,-36.2607
-5.98411,-3.2492,-4.67566,-10.0703,-1.58254,-36.2624
-5.97988,-3.2469,-4.67456,-10.0716,-1.58219,-36.2648
-5.97625,-3.24497,-4.67289,-10.0739,-1.58185,-36.2677
-5.97334,-3.24343,-4.67088,-10.0772,-1.58147,-36.2711
-5.97123,-3.24226,-4.66874,-10.0812,-1.58103,-36.2747
-5.96989,-3.2414,-4.66666,-10.0859,-1.58052,-36.2786
-5.96929,-3.24079,-4.66484,-10.0909,-1.58,-36.2826
-5.96932,-3.24035,-4.66344,-10.096,-1.57954,-36.2868
-5.96984,-3.23999,-4.66263,-10.101,-1.57926,-36.2911
-5.97072,-3.23966,-4.66259,-10.1057,-1.57927,-36.2958
-5.97183,-3.23932,-4.66347,-10.1098,-1.5797,-36.3009
-5.97307,-3.23897,-4.66549,-10.1134,-1.58066,-36.3065
-5.97437,-3.23864,-4.66885,-10.1161,-1.58224,-36.3125
-5.97573,-3.23838,-4.67379,-10.1181,-1.58449,-36.3188
-5.97717,-3.23827,-4.68047,-10.1191,-1.58741,-36.3253
-5.97875,-3.23841,-4.68902,-10.1193,-1.59094,-36.3317
-5.98056,-3.23889,-4.69948,-10.1188,-1.59498,-36.3378
-5.98264,-3.23979,-4.71171,-10.1178,-1.59941,-36.3433
-5.98502,-3.24113,-4.72547,-10.1163,-1.60404,-36.348
-5.9877,-3.24291,-4.74031,-10.1147,-1.60871,-36.3517
-5.99061,-3.24505,-4.75567,-10.113,-1.61323,-36.3542
-5.99367,-3.24749,-4.77094,-10.1115,-1.61739,-36.3556
-5.99677,-3.25011,-4.78552,-10.1104,-1.62104,-36.3557
-5.99987,-3.25289,-4.7989,-10.1096,-1.62401,-36.3546
-6.00293,-3.25581,-4.81068,-10.1093,-1.62615,-36.3524
-6.00594,-3.25887,-4.8206,-10.1095,-1.62736,-36.3491
-6.00892,-3.26212,-4.82849,-10.1101,-1.62755,-36.3447
-6.01192,-3.26558,-4.83433,-10.1112,-1.6267,-36.3393
-6.01494,-3.26929,-4.83815,-10.1125,-1.62481,-36.3329
-6.01798,-3.27325,-4.84011,-10.1142,-1.62196,-36.3256
-6.02103,-3.27743,-4.84037,-10.1161,-1.61824,-36.3176
-6.02405,-3.28175,-4.83918,-10.1182,-1.61383,-36.309
-6.02697,-3.28614,-4.83681,-10.1203,-1.60893,-36.2999
-6.02974,-3.29051,-4.83357,-10.1224,-1.60376,-36.2906
-6.0323,-3.29474,-4.82971,-10.1245,-1.59857,-36.2816
-6.03464,-3.29876,-4.8255,-10.1264,-1.59359,-36.273
-6.03673,-3.3025,-4.82116,-10.1282,-1.58899,-36.2653
-6.03858,-3.3059,-4.81686,-10.1297,-1.58498,-36.2587
-6.04022,-3.30893,-4.81276,-10.1309,-1.58165,-36.2535
-6.04166,-3.31156,-4.80892,-10.1318,-1.57906,-36.2497
-6.04293,-3.31379,-4.80537,-10.1324,-1.57722,-36.2475
-6.044,-3.31561,-4.80215,-10.1328,-1.57607,-36.2467
-6.04486,-3.31705,-4.7992,-10.1329,-1.57554,-36.2471
-6.04544,-3.31814,-4.79648,-10.133,-1.5755,-36.2485
-6.04569,-3.3189,-4.79393,-10.1329,-1.57583,-36.2503
-6.04552,-3.31936,-4.79149,-10.1327,-1.5764,-36.2524
-6.04483,-3.31956,-4.7891,-10.1325,-1.57707,-36.2543
-6.04355,-3.31954,-4.78671,-10.1321,-1.57773,-36.2557
-6.04161,-3.31931,-4.78434,-10.1318,-1.57827,-36.2564
-6.03896,-3.3189,-4.782,-10.1313,-1.57863,-36.2563
-6.03561,-3.31833,-4.7798,-10.1307,-1.57879,-36.2554
-6.03161,-3.31763,-4.77785,-10.1301,-1.57872,-36.2538
-6.02704,-3.31682,-4.77628,-10.1295,-1.57849,-36.2517
-6.02206,-3.31591,-4.77524,-10.1288,-1.57811,-36.2493
-6.01686,-3.31494,-4.77486,-10.1282,-1.57769,-36.2468
-6.01163,-3.31394,-4.77522,-10.1277,-1.57727,-36.2445
-6.00661,-3.31294,-4.77639,-10.1273,-1.57693,-36.2425
-6.00203,-3.31197,-4.77838,-10.1271,-1.57674,-36.2412
-5.99809,-3.31106,-4.78114,-10.1271,-1.57675,-36.2405
-5.99499,-3.31024,-4.78458,-10.1273,-1.57699,-36.2406
-5.99286,-3.30955,-4.78858,-10.1277,-1.57752,-36.2416
-5.99181,-3.30899,-4.79294,-10.1283,-1.57834,-36.2434
-5.99187,-3.30858,-4.79749,-10.1289,-1.57949,-36.246
-5.99304,-3.30831,-4.80207,-10.1297,-1.58096,-36.2494
-5.99523,-3.30814,-4.80649,-10.1305,-1.58278,-36.2533
-5.99833,-3.30806,-4.81066,-10.1314,-1.58495,-36.2576
-6.00216,-3.30799,-4.8145,-10.1323,-1.58746,-36.262
-6.00653,-3.30791,-4.818,-10.1333,-1.59029,-36.2665
-6.01122,-3.30776,-4.8212,-10.1343,-1.59343,-36.271
-6.016,-3.30751,-4.82419,-10.1354,-1.59681,-36.2752
-6.02065,-3.3071,-4.82711,-10.1366,-1.60039,-36.2792
-6.02498,-3.30653,-4.83009,-10.1378,-1.60404,-36.2828
-6.02883,-3.3058,-4.83326,-10.1389,-1.60763,-36.2858
-6.03208,-3.30493,-4.83676,-10.14,-1.61101,-36.2883
-6.03469,-3.30396,-4.84066,-10.141,-1.614,-36.29
-6.03665,-3.30295,-4.84507,-10.1416,-1.61647,-36.2909
-6.03799,-3.30194,-4.85004,-10.142,-1.61826,-36.2907
-6.03881,-3.30099,-4.85561,-10.1419,-1.61932,-36.2894
